Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2243583	4586007.0	4586007.0	4580102.0	4580102.0	4578928.0	4578928.0	3723383.0	3723383.0	264114.0	141628.0
SRR2243549	4421019.0	4421019.0	4415338.0	4415338.0	4414176.0	4414176.0	3665829.0	3665829.0	232020.0	126987.0
SRR2246741	5676299.0	5676299.0	5668347.0	5668347.0	5665941.0	5665941.0	4605378.0	4605378.0	304841.0	189661.0
SRR2244772	5567175.0	5567175.0	5561485.0	5561485.0	5559222.0	5559222.0	4592154.0	4592154.0	277602.0	177420.0
SRR2244009	5552382.0	5552382.0	5545620.0	5545620.0	5543257.0	5543257.0	4597398.0	4597398.0	265317.0	176660.0
SRR2243655	5473918.0	5473918.0	5466277.0	5466277.0	5463929.0	5463929.0	4534259.0	4534259.0	265674.0	170045.0
SRR2243657	5033825.0	5033825.0	5026777.0	5026777.0	5025449.0	5025449.0	4217533.0	4217533.0	227682.0	146441.0
SRR2245337	5119729.0	5119729.0	5111440.0	5111440.0	5110007.0	5110007.0	4208233.0	4208233.0	262773.0	156967.0
SRR2245536	5043282.0	5043282.0	5037240.0	5037240.0	5035875.0	5035875.0	4211925.0	4211925.0	237725.0	146867.0
SRR2243534	4967576.0	4967576.0	4959796.0	4959796.0	4958304.0	4958304.0	4162168.0	4162168.0	230118.0	140656.0
SRR2227818	4912603.0	4912603.0	4906666.0	4906666.0	4905871.0	4905871.0	4145126.0	4145126.0	234924.0	144539.0
SRR2227885	4913571.0	4913571.0	4908584.0	4908584.0	4907796.0	4907796.0	4133187.0	4133187.0	242554.0	144462.0
SRR2227853	4984726.0	4984726.0	4977855.0	4977855.0	4977067.0	4977067.0	4129488.0	4129488.0	267084.0	153870.0
SRR2227842	4840476.0	4840476.0	4833825.0	4833825.0	4833002.0	4833002.0	4086157.0	4086157.0	235794.0	138360.0
SRR2227814	4606748.0	4606748.0	4602044.0	4602044.0	4601031.0	4601031.0	3841089.0	3841089.0	229915.0	131846.0
SRR2227946	4704754.0	4704754.0	4698033.0	4698033.0	4696963.0	4696963.0	3857710.0	3857710.0	253853.0	141245.0
SRR2227953	4593241.0	4593241.0	4587572.0	4587572.0	4586562.0	4586562.0	3841702.0	3841702.0	221845.0	131363.0
SRR2227978	4528207.0	4528207.0	4521791.0	4521791.0	4520848.0	4520848.0	3790080.0	3790080.0	222631.0	125094.0
SRR2237776	5145578.0	5145578.0	5140121.0	5140121.0	5139126.0	5139126.0	4241559.0	4241559.0	298050.0	147002.0
SRR2237807	5126469.0	5126469.0	5120188.0	5120188.0	5119122.0	5119122.0	4238966.0	4238966.0	287453.0	147006.0
SRR2236841	5254707.0	5254707.0	5247247.0	5247247.0	5246117.0	5246117.0	4262256.0	4262256.0	325948.0	158599.0
SRR2237095	5058204.0	5058204.0	5050985.0	5050985.0	5049958.0	5049958.0	4182455.0	4182455.0	290538.0	141980.0
SRR2227822	5926161.0	5926161.0	5918539.0	5918539.0	5917390.0	5917390.0	4947924.0	4947924.0	294280.0	173181.0
SRR2227932	6025476.0	6025476.0	6016671.0	6016671.0	6015470.0	6015470.0	4939524.0	4939524.0	333917.0	184615.0
SRR2227919	5938774.0	5938774.0	5932357.0	5932357.0	5931254.0	5931254.0	4944659.0	4944659.0	305026.0	172986.0
SRR2227949	5842018.0	5842018.0	5833491.0	5833491.0	5832313.0	5832313.0	4882879.0	4882879.0	295311.0	165176.0
SRR2237582	4040184.0	4040184.0	4034415.0	4034415.0	4033659.0	4033659.0	3370921.0	3370921.0	201102.0	120064.0
SRR2237477	4209583.0	4209583.0	4203645.0	4203645.0	4202967.0	4202967.0	3441186.0	3441186.0	230764.0	135522.0
